,Date,Prob,Label,Symbol
606,2024-05-10,0.52498865,-1,NRG
607,2024-04-18,0.4533905,1,CMG
608,2024-04-15,0.48990747,-1,AMAT
609,2024-05-08,0.52311504,-1,TGT
610,2024-04-29,0.49546728,-1,J
611,2024-05-20,0.46446288,-1,LHX
612,2024-04-15,0.52968997,1,MET
613,2024-05-09,0.60719776,-1,CEG
614,2024-05-21,0.47988895,-1,IBM
615,2024-05-15,0.5629764,-1,CB
616,2024-05-21,0.8589318,-1,K
617,2024-04-26,0.48568135,1,META
618,2024-04-23,0.6998312,-1,JNPR
619,2024-04-08,0.46538946,-1,CRM
620,2024-05-16,0.54725325,-1,DOC
621,2024-05-15,0.511583,-1,ED
622,2024-05-07,0.28983405,1,UDR
623,2024-04-18,0.37245342,-1,AMP
624,2024-05-10,0.38657734,1,NDAQ
625,2024-04-22,0.45353827,-1,FDX
626,2024-05-20,0.56260526,-1,CB
627,2024-05-02,0.60202676,1,SYK
628,2024-04-24,0.46742564,-1,ALGN
629,2024-05-09,0.43439212,-1,K
630,2024-05-22,0.5061415,1,DUK
631,2024-05-15,0.44502145,-1,EQT
632,2024-04-17,0.4604429,1,VTR
633,2024-04-01,0.45386183,-1,GPN
634,2024-04-24,0.43003458,-1,OXY
635,2024-04-22,0.5335485,-1,STE
636,2024-05-10,0.43845534,-1,COF
637,2024-03-28,0.442587,1,ES
638,2024-04-11,0.22582611,-1,LVS
639,2024-04-29,0.56869006,1,MOH
640,2024-04-01,0.47478625,1,PTC
641,2024-05-08,0.49582493,1,MCHP
642,2024-05-22,0.56093884,1,AAPL
643,2024-04-04,0.4682998,-1,MAR
644,2024-05-21,0.54891753,-1,TEL
645,2024-05-10,0.30095044,1,TSCO
