ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
1542322800000000000,34,2,7327,272870000000,272870000000,272430000000,272520000000,20578,SPY
1542358800000000000,34,2,7324,272310000000,272600000000,272300000000,272500000000,12299,SPY
1542362400000000000,34,2,7324,272350000000,272440000000,271910000000,272000000000,17212,SPY
1542366000000000000,34,2,7324,271970000000,272070000000,271550000000,271940000000,23607,SPY
1542369600000000000,34,2,7324,272050000000,272090000000,271250000000,271710000000,45511,SPY
1542373200000000000,34,2,7324,271640000000,272070000000,270810000000,272070000000,302849,SPY
1542376800000000000,34,2,7324,272060000000,272810000000,271210000000,272770000000,3403501,SPY
1542380400000000000,34,2,7324,272695000000,273920000000,272270000000,273230000000,3126850,SPY
1542384000000000000,34,2,7324,273240000000,273410000000,272050000000,272350000000,2485699,SPY
1542387600000000000,34,2,7324,272360000000,274750000000,272020000000,273880000000,3628240,SPY
1542391200000000000,34,2,7324,273870000000,274010000000,272370000000,272860000000,2522104,SPY
1542394800000000000,34,2,7324,272850000000,273920000000,272700000000,273830000000,2587765,SPY
